"pageUrl","domain","resourceType","isThirdParty","hasAdKeywords","isKnownAdDomain","sizeKB","durationMs","status"
,"a1.api.bbc.co.uk","xhr",true,false,,0,1185,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,1190,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,1191,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,1192,204
,"cdn.privacy-mgmt.com","document",true,false,,0,1064,200
,"cdn.privacy-mgmt.com","stylesheet",true,false,,0,55,200
,"cdn.privacy-mgmt.com","script",true,false,,0,57,200
,"cdn.privacy-mgmt.com","script",true,false,,0,118,200
,"rm-script.dotmetrics.net","image",false,false,,0.79,1253,200
,"static.files.bbci.co.uk","other",true,false,,6.17,57,200
,"cdn.privacy-mgmt.com","fetch",true,false,,0,51,200
,"cdn.privacy-mgmt.com","fetch",true,false,,0,84,200
,"gn-web-assets.api.bbc.com","image",true,false,,1.28,905,200
,"a1.api.bbc.co.uk","xhr",true,false,,0,73,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,51,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,56,204
,"ichef.bbci.co.uk","image",true,false,,26.33,71,200
,"a1.api.bbc.co.uk","xhr",true,false,,0,87,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,87,204
,"ichef.bbci.co.uk","image",true,false,,8.35,74,200
,"ichef.bbci.co.uk","image",true,false,,3.3,89,200
,"ichef.bbci.co.uk","image",true,false,,8.38,94,200
,"ichef.bbci.co.uk","image",true,false,,7.88,96,200
,"ichef.bbci.co.uk","image",true,false,,7.21,96,200
,"ichef.bbci.co.uk","image",true,false,,13.08,97,200
,"ichef.bbci.co.uk","image",true,false,,2.98,125,200
,"a1.api.bbc.co.uk","xhr",true,false,,0,84,204
,"ichef.bbci.co.uk","image",true,false,,312.34,118,200
,"a1.api.bbc.co.uk","xhr",true,false,,0,34,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,35,204
,"ichef.bbci.co.uk","image",true,false,,93.17,143,200
,"a1.api.bbc.co.uk","xhr",true,false,,0,47,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,53,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,67,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,68,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,69,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,67,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,66,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,67,204
